Q96NS5	P21854
Q9BZQ8	Q8NGD2
Q96BW5	Q8N7C0
Q9Y5S8	Q96R27
O43592	Q96NS1
Q155Q3	Q8N4A0
Q6NX45	A6NJ46
Q8NFU1	Q92466
Q96JJ3	Q9UQ49
P47870	Q9BV44
Q9NWV4	P05204
P05089	Q8IZS6
Q8NDA8	Q5T2S8
O95263	P98169
Q6K0P9	Q8NI51
Q6KCM7	Q9UBY8
Q8N8A2	P28223
Q6UXB3	Q96FX8
Q01484	Q96MU8
P49917	Q9H3P7
Q99999	Q9Y6J8
P07202	P22760
Q86VD7	O43927
Q9Y3U8	P35544
P58304	O75494
Q5HYA8	Q8WZ92
Q6UVK1	P55064
Q6P1J6	Q9NUN7
Q7Z3V5	Q9NXH8
Q96JJ6	Q8N490
Q7Z7K2	Q9NRG4
Q9Y5S1	P42331
Q9GZS9	Q5QJU3
Q9BYF1	Q9UK23
P52952	Q9BSK2
Q96S15	P11310
Q9UBK8	Q9HBE4
P42701	Q9NR83
Q8N3Z6	Q96E16
P35414	P47804
Q6NV75	P30043
Q7Z6B7	Q9HD64
Q7Z402	Q9Y397
O15446	Q8N9S9
Q96HA4	P02741
Q8TAD8	Q15697
Q9NYP3	Q9UL49
O60412	Q9GZZ8
Q8N1I0	O00160
O95180	Q9NYL5
Q96RS6	Q8NH41
Q5SGD2	Q9UF47
Q9Y2L8	Q4G163
P08621	Q9BV87
Q96Q42	Q6ZPD9
Q8NFT6	Q9H2U2
Q13889	A6NDZ8
Q9NZP5	Q9NP72
P35998	Q7Z7A3
Q96R45	P0CZ25
Q8IZQ1	Q8WXH6
Q04446	Q9Y5X3
Q9NZC9	P22676
Q9UIU6	P16278
Q13478	Q6JBY9
Q9ULB4	P39905
Q8N614	Q6UE05
Q96DT5	Q9ULD5
Q2TB10	Q9Y2I2
Q9NXF1	Q10587
Q9Y2E4	O96008
E0CX11	Q5H8A3
Q12913	Q9GZP1
P41229	Q9NWS8
Q9HBX8	Q9Y5E9
O43173	P55001
Q9UGP8	P56537
P21246	O60783
Q9H6S1	Q3SY17
Q92696	Q9H7P6
P17676	Q9Y691
Q9Y6C5	Q9NZQ3
Q9BUV0	Q9Y689
Q14149	Q7RTU4
Q6UY01	Q9H6R6
Q9BZB8	Q8NGD1
Q9HBL6	Q5VZ03
Q9UN74	P82251
P02765	Q9HCQ7
Q53GL7	P60763
O15117	Q8WTR8
P0C263	O43633
P53671	Q96GW9
Q9H330	Q5VZ03
Q14008	Q8WVP5
Q5SZI1	P22466
Q9NY91	Q15125
Q9UN70	Q9UKY7
Q9Y625	P34910
Q9Y5E6	Q6YBV0
O94830	Q6ZP68
Q9BZ72	Q8NAP3
Q9H1B5	Q8IYD9
Q8IXB1	B4DS77
Q8TCT8	P41222
Q86YC3	Q6UWW9
P24158	O43291
Q5T890	Q9Y2G4
Q9ULB4	Q6VVB1
Q9Y694	Q15573
O94762	P26599
Q5JYT7	Q01151
Q13402	Q9Y6M1
Q969Z0	Q2M3R5
A3KMH1	Q5U4N7
Q16650	Q9BR10
Q9BUB7	Q9BV90
Q9GZZ0	Q5VY09
Q5HYK9	Q6PJ69
Q9BQ52	Q8TAP8
O95759	O75911
Q9BY44	P36508
Q9UQQ2	P21281
Q96LU7	O15060
Q8IWA0	Q9Y3E7
O75072	Q9BXV9
Q9BW91	Q9Y3D3
Q9GZV3	Q6UXU6
P07358	P40926
P10746	Q96IX5
P13796	P23297
D6REC4	O60487
O43426	Q6UXX9
Q96PX1	P57723
Q8WXG6	O95232
P22079	Q96IY1
Q8IY82	Q96FZ7
Q86XJ1	Q5T4F4
P20807	Q13258
Q9P2F6	Q6EBC2
Q8WVM8	Q13228
Q8IWU6	Q7RTX1
Q7LFL8	P60983
Q8IV42	Q9BUP0
Q92581	Q8NET6
Q9P2F5	Q9BZM1
Q5W0B1	Q8NGI9
Q9BUQ8	Q6UWT4
Q7Z412	P22492
Q9NRM7	Q5SVJ3
Q02297	Q9HB96
Q9H0S4	Q9P225
Q8IYX4	Q9Y343
A6NMS3	Q5HYL7
A0PJW6	Q8WW18
Q9BWM5	Q6NUS8
O00287	Q8N2X6
P30566	Q6P2I7
Q8NBP5	Q6YFQ2
P20749	Q9BVC5
P50479	Q9HCJ5
Q01113	P15813
P42765	P05452
Q52LW3	Q8NGN4
Q9H4L7	O95302
Q66K14	Q9UHW5
Q6IQ19	P52298
Q6PI98	Q9P0J6
Q8N336	Q96EY8
Q13888	Q9H0F6
P02647	Q6QNY0
Q53EL6	Q9UJJ9
Q96CM4	Q9Y286
Q5FWF5	P49961
Q13886	Q0P641
O15075	Q537H7
P05155	Q8NGZ3
Q14439	Q5SRE7
Q8N3F8	Q8IWP9
Q8TCJ2	Q7RTS5
Q8N3X6	P49862
Q9UJ14	Q9UJK0
Q14CX5	Q8N7B9
Q8IZ02	Q8NFX7
P23415	P0CJ87
Q8N3T6	P17482
P11678	A6NHA9
Q86W56	P50416
Q9UL17	A6NGS2
Q6AZW8	Q9UJ68
Q9NS84	Q9NPC2
O75881	Q6ZT89
O15374	P07315
Q9UG01	Q6DD88
P59044	P20160
Q14126	A0PJY2
O94769	P24752
Q86XP0	Q8N8Q3
Q96CX6	O00574
Q8WUU5	Q8TBZ9
Q09472	Q8ND56
P82987	Q96NT1
Q9NQ33	Q8IVY1
P55011	Q8TF63
Q9H116	Q7RTU7
A6NM03	Q6P2H8
Q4ZG55	H3BQW9
Q14576	O43570
Q9NU63	Q6UWJ8
O00462	Q9BZE4
Q8TED4	Q8IXS6
Q96CD0	Q8NGN6
P17031	Q9Y6H6
Q9C0D4	P34741
P48739	Q15061
Q9P242	P10155
Q9HCM7	O75144
P36915	Q8NGN0
A0AVI4	P21246
P51452	Q8N7C4
O60391	Q5FWE3
Q17RP2	Q6A162
Q6QNY1	P02818
O94916	Q96HA7
O76080	Q99457
Q00005	Q8N1S5
Q14393	Q16762
Q15166	Q14761
Q02846	Q56P42
P04234	Q6NZY7
Q8NCW6	Q8N983
Q7RTV5	Q6UXN2
Q14139	A2RUU4
Q6ZPD9	Q2VPK5
P04839	P08887
P16118	O76001
Q8NGV6	P69905
Q86TD4	Q13901
Q14978	Q7Z4U5
P04626	Q15061
Q96MD7	P40305
Q8N806	Q5VYS4
O75478	Q96M11
Q86TV6	P48304
O14494	Q8NEA5
Q8WUJ3	Q9Y6M5
Q9ULQ0	Q04844
Q8NEG5	Q9NXI6
Q92831	Q5TA31
Q9P283	Q6NT16
C9JSJ3	P07315
O15544	O75324
Q6UWV2	Q96HG1
Q8NH72	Q16674
Q96HU1	Q13585
P17213	Q96QR1
P14625	P14317
Q96CP6	P24390
Q8NAA4	Q5VWP3
P19447	Q5RIA9
Q9NRE2	Q8NGI7
P19174	A2RUU4
Q9UQR1	Q9NVM9
A2CJ06	Q96S52
Q99538	P10144
Q16595	Q14695
P78424	Q9Y2Y1
Q96A28	P98066
Q9Y3D2	C9JI98
Q6P1J6	P47898
P26012	Q9H1M3
Q9BQ52	Q13113
Q9P2D7	Q8N1P7
Q07973	Q9ULZ0
Q14397	Q9BV87
P58173	A6NGQ2
Q9Y5W8	O76074
P0C263	Q8TB33
Q8N7X8	O60829
Q96PK6	Q8IUB5
Q8NB14	Q15773
Q8IZK6	Q8N6R1
Q15050	Q96KJ9
Q9BQP7	Q9NZD2
Q14554	A6NCL7
Q8TAF3	P47887
Q8IXH8	Q9GZS1
Q8TDV2	P52198
Q9HDC5	B8ZZ34
Q9BPZ7	Q5FWF6
Q9UQQ2	P28906
Q52WX2	P28325
P46013	P00747
O95259	Q9BWF2
Q5TAA0	Q5VXU1
Q9BRS2	Q5SWH9
Q9UBM4	P03923
Q9BRB3	Q8N0X4
P08174	P82912
Q6NS38	Q5T1C6
Q9NUJ3	Q15738
Q9BYT9	P12277
P19827	Q04828
Q9BQ31	Q8WX77
P0CV99	Q5VZ72
Q8IVL1	Q9UQQ2
Q9NP78	Q8WVP7
Q9ULD8	Q9NY59
Q96C34	P43235
P09923	P11684
Q68CZ2	Q9NQ60
Q9H4H8	O95178
O43497	Q9H6B1
Q9H8N7	Q8N6T7
Q9GZS1	O15537
Q9NR63	Q6ZWT7
P36954	Q86SH4
Q6ZN44	Q15049
Q6PI47	A8MXD5
Q8TF72	P01100
Q5U623	O00442
Q15650	Q9NPJ4
Q9NYF5	Q15434
P08590	Q96QR1
Q8TBP0	Q8N3Y3
P17812	Q14154
P07384	Q96EL2
Q99583	P41222
P01137	P51677
Q96IQ7	H3BQB6
Q9UL62	P04080
P51608	Q9H5V7
Q9H209	Q7Z309
Q86US8	Q14982
Q9H4F1	Q9BQT8
Q14195	P38567
Q96RY5	Q3KNS1
Q86X10	Q8NGJ0
Q9Y613	P01584
Q5GJ75	Q96AH0
Q9HC38	P55774
Q8WXF7	Q96NT5
Q15762	Q30KP9
Q8TDR0	Q8NGY6
P50052	Q3LI83
Q9UEE9	Q17RA5
Q9Y5B9	P01859
Q96EK7	Q8N9V6
O75448	Q52LC2
Q15822	Q9BZG2
Q9UMS6	Q9Y570
Q6ZR08	Q9H159
Q86VY9	Q9ULC4
Q9H2U9	O00300
Q9NQ36	Q92953
Q96DN5	Q8IYU4
Q8N7K0	O00566
Q14146	Q9H2C5
A5PLK6	Q8N4H0
O75061	Q86XW9
Q96SF2	B4DS77
Q15459	Q8TE77
Q93088	Q8NGS7
Q96JA4	O15231
O95221	P62750
Q8NCY6	Q9BSY4
Q8N9F8	Q8N2Z9
O15031	Q6RUI8
Q13144	Q7RTV0
Q8NHV4	P02771
Q8IVF4	Q5H943
P19367	P06576
O60841	Q6NSJ2
P55017	O00213
P20042	Q96KX0
Q8IUF1	Q8N8I0
Q6ZMR3	Q8N4C9
O60313	P43119
Q9BU19	Q8WXS3
Q96EW2	Q15391
Q92664	Q14406
Q86XL3	P60985
Q8NBZ0	O14828
Q8NE31	P36382
P10636	Q9GZS0
P58004	Q8NHC5
Q9BVV7	Q5SR53
Q8IXK2	P30307
Q5HYK9	Q9Y6I4
Q7Z3Q1	Q9BUP0
Q8NGZ2	Q96IK1
Q9NRY4	Q01167
Q8N565	P08686
P49959	P20340
Q8IVS2	Q9BZM5
O95453	P17302
A6NK06	Q6P2H8
Q969X2	Q5VY80
Q8NFW8	Q13151
P20936	Q9NPH3
P40818	Q9Y580
Q8N123	P61009
Q9BYE9	Q13433
Q5JTY5	Q96N03
P00533	Q9P243
Q9UKK3	O15244
P49767	Q9Y5L4
O43374	O95758
P19404	O75324
Q9P217	P50613
Q6P3S1	Q96EK2
Q9H091	Q5GH77
Q9Y496	Q53FT3
O75093	Q96FB5
A5PLN9	Q8NGF1
Q7L3S4	P43121
Q8NG27	Q8N349
P08729	Q96M61
Q9HB29	Q00G26
Q9H8M9	P28330
Q495B1	O95561
Q5T5M9	Q8NH72
Q9ULW8	Q8NGJ2
E5RHQ5	Q8WVN8
Q9BQE5	Q9Y530
Q9BQF6	Q14677
Q9H1J1	P36383
Q6ZMT4	A1X283
Q14D04	P13378
Q9HAS3	Q9HD15
Q7L5Y9	Q9BXI9
Q6NZY4	Q8N999
Q9Y2L1	P52298
O15516	O00237
Q6DN72	A0ZSE6
Q13825	Q9UHY7
P51452	Q9UH17
Q9NVP4	Q16553
Q9BVC3	Q6UWQ5
Q9GZR7	Q96F05
Q5T1H1	Q86SQ9
Q9BXB1	P61421
Q92826	P52943
Q92545	Q9H9Y6
Q14839	O14627
P22736	Q8NGX9
Q16720	Q7Z2F6
O43747	P20783
Q8NGX6	Q08722
Q9NQA5	Q8IWF9
P42566	Q8IYS5
Q96J92	Q8NBI6
M0R0X6	Q96DE5
Q86XN7	Q9GZZ6
Q9UJU5	Q9BV79
P02768	P43119
P35555	Q8N1G0
P0DJG4	P11310
Q9UIA0	Q9BXD5
O75888	O15318
P57076	Q8TB05
P57679	Q6UWU2
P10253	P61601
Q9HAH7	P59665
P43166	O14618
P20138	Q8N7X8
Q14849	Q9H9Q2
O60449	Q8TBB5
Q14183	Q8N9I9
Q9H6Q4	Q8TAA1
O95396	Q13607
Q8TAE8	H3BR10
P46095	P56851
Q9BVV6	O43602
Q96AY4	H0Y2S1
Q9BX40	Q9Y240
Q969I6	Q8NHW6
P15509	Q86X60
P40306	O15235
O15211	Q496Y0
Q9UNW1	Q5TGU0
P00352	P16435
Q2TAZ0	C9J302
P09430	P0CG21
Q9GZU5	O95415
Q9NSB4	Q9NR63
P07305	P62280
Q9H2X6	B2RD01
P12272	Q9NPH9
Q5SYB0	Q6R2W3
P18858	Q13442
Q86UK7	P15382
P49790	Q5VXI9
Q8TAQ2	P29320
Q96PB1	Q9H255
Q6NXT6	Q8TAV3
Q6P1A2	Q8IVD9
P49593	P51688
Q96P47	Q9UBP8
Q86W42	Q9NQ88
P53804	Q96LL9
P48147	P62805
O95996	Q9Y3Y4
O60774	O14756
Q9HCS2	P56181
O95405	P10768
Q7Z2T5	P16671
Q70SY1	Q5GAN4
Q5JVX7	Q96FW1
H7C119	Q9H816
O00253	Q8TF17
Q06210	Q9C073
Q9HCI6	P20472
Q5H8A4	P54819
Q96QT4	Q96MF4
Q96DT5	O95990
Q8IXR9	Q6PGQ7
Q16880	Q16635
P28300	Q16649
Q9Y2A4	Q9HAE3
P41212	Q15007
Q6VVX0	Q8N4B5
Q92900	Q6ZNX1
Q9Y6X4	Q9GZN1
P41595	Q9H649
Q9ULU8	P15559
P00492	Q6UW01
Q96EK7	Q8NH04
A6NGC4	Q96QK8
A1L167	P40259
Q9BPZ7	Q3ZCV2
P15976	Q99801
O15218	Q96I82
Q8TBB5	P55087
Q9H0I9	Q5VT98
Q8N9V7	Q9UBT2
Q14432	P47871
O60266	Q8WW14
Q9BT23	P19338
Q96G25	Q9NZ42
Q5JTH9	Q9UNQ0
P00533	O43541
Q6ZR08	Q8NGX2
Q8NFP4	Q9BYN8
Q9C0H2	Q7Z5J1
A1A519	Q14165
Q9H3M9	Q9UDY4
O00206	Q9H8M9
Q6ZRP7	Q9BQG2
Q9GZS0	Q5BJH7
Q7Z4H7	Q9H313
P42892	Q96ID5
O00748	O75638
Q9Y487	Q5JQC9
Q12955	Q9NYP8
Q8TD84	Q9NUR3
Q9C0H9	P36894
P48039	P06744
Q9H0Q0	O00175
Q8N475	Q2TB18
Q8TAE6	Q30KQ8
Q96GY3	Q53GA4
Q9HAC7	Q5JUR7
Q96FG2	Q8NGQ4
Q5TCQ9	Q9Y672
Q9UI17	Q9NYI0
Q3B8N5	Q8NGR8
Q8N5S9	Q92731
P51681	Q9H2U2
Q9NQ76	Q2HXU8
P36957	Q9H0C8
Q8NBP5	P35914
Q96SC8	P47893
Q9NYW7	Q9NZQ7
Q5H9R4	O60240
Q7L4E1	Q9BWS9
Q7M4L6	P47902
Q9UIK4	O75832
P04180	Q68D42
Q8N139	Q9NP58
Q9NV39	Q9NVV2
A6NGY1	P59103
Q8NEG2	Q6GMV3
Q96IY1	P14770
O15069	P61224
Q9UBF1	Q9UKP6
Q96C36	Q3C1V8
Q8TDW7	O60934
Q9Y6A2	Q9NY43
P14921	Q7Z4G4
Q9BT76	Q96B77
Q5JRS4	Q9NVS2
Q86VW2	Q9NPC1
Q13148	Q496H8
Q99542	Q96LB9
P52738	Q86T13
Q8IUC6	Q16775
O14771	Q9UHR5
Q7Z569	Q5H913
O15031	O14957
P15428	Q5W111
O60841	Q9Y5P8
Q9NTJ3	O60231
Q8N660	Q9NR61
A6NHC0	Q96MT1
Q7Z6K3	Q9BTZ2
Q9BYT9	Q5VZQ5
Q9Y5Z4	A2RU14
Q96JA4	P62993
O60356	Q30KQ7
Q9BRT8	O43889
Q9BW92	O14618
Q8IY37	Q8N859
O75636	Q9HCN8
D6REC4	O75888
A4D0S4	Q9NS37
P52790	Q9H172
Q9UNA4	Q9H299
C9JQI7	Q8N6Q8
Q8NBJ9	Q14CS0
P0CL85	Q9Y5X1
Q92643	P40225
Q66K66	Q15836
Q9NYU1	Q96RD0
Q15020	Q96M89
P56202	Q16774
Q3LI54	Q9BZG2
Q9GZZ6	O95167
Q9NUJ7	Q9Y2R9
O00411	O94880
Q9Y6J0	Q9BWV3
A6NGR9	Q9NUN7
Q8IYR2	Q9NPD7
Q3SX64	P30519
P16499	Q96KX1
P49863	Q96I45
P30542	Q5T871
Q9NYP8	Q17RF5
Q7Z6E9	P57721
Q8TEA7	Q92781
O75044	P16410
Q9Y5Y0	O95502
P78545	Q96AT1
Q6UX71	Q9HBV1
Q9UIW2	P86496
Q86VP6	Q86SR1
Q9HBX8	O94772
Q9Y426	Q9BZQ2
Q5VW00	Q9HBE4
Q9NQX3	Q7Z5S9
Q96ME1	A1L3X0
Q9Y2U5	Q6ZNQ3
O15226	Q6ZUS6
O96019	Q9BY14
Q86X67	P31274
Q13442	Q9H4X1
Q68DV7	P23786
Q8NFM7	Q0P5N6
P0C7H8	Q96PC2
Q8TF44	P61081
Q9Y5F8	Q9BYQ3
Q96S66	Q96FW1
P00995	Q8N5S3
O60741	Q96QH8
P20749	Q6PCB0
Q96K37	Q9H6F5
Q08357	Q5R3I4
Q49AJ0	Q99935
Q86XP6	Q5SY13
P49848	Q50LG9
Q96P26	Q6IF63
Q7Z304	Q9UI09
O15554	P34903
Q9P2C4	Q6PID8
Q969M3	Q86TG1
Q63HM1	Q8N8Q3
P22736	Q8N9S9
P55285	Q68DV7
Q8NGL6	Q7L5L3
Q17RC7	Q96N19
Q5T4D3	P51124
C9JTQ0	P08571
Q3LI58	Q13613
Q86UT8	A6NC05
Q9P1A6	Q86WK9
Q9Y5S1	P23327
P30876	Q96G42
Q8IZU8	Q14103
Q9BXT8	Q7Z2Y5
P29320	Q8TEH3
P09884	Q9H777
A6NDV4	P07360
P57737	Q3C1V0
P35573	Q9Y3E5
P0C7P3	Q9UQQ2
Q8NH48	Q9GZU8
P07451	O15318
Q8N393	Q99608
Q9BZ76	O43861
Q969F8	Q6NVH7
Q9Y2X0	Q96T53
Q9BY64	Q96M53
Q9H9Q4	Q96S16
Q96GX9	P50553
P41229	Q07075
P50053	Q9C0I3
Q9H0A6	P35326
Q13233	Q2KHT3
O75362	Q8IXH8
P51826	Q13454
Q13315	P55103
P26371	Q6IF63
Q8NE62	P0CG37
Q8WXH6	Q9NSK7
Q8WVF5	O00193
P12643	Q7RTP0
Q7L3T8	Q9H0N5
Q8IWU2	Q8NH59
Q5GH73	Q96KJ9
Q86TZ1	P15382
Q496A3	Q30KP9
Q9UND3	Q96EI5
O60306	Q9UNE2
Q9UIV1	Q9H246
Q9BRS8	Q9UNA3
Q9HCK5	Q5T5X7
O15254	P98182
Q07864	A8MQT2
Q53GL7	P55010
Q9NVU0	Q9HB09
Q6R2W3	O15375
Q8N3X1	Q8WVZ1
Q96DR7	Q9Y5S1
Q5VXU9	P20062
Q8WTX9	Q8NCG5
P08254	P60827
Q9HB29	Q9HD42
O75818	O43745
Q9H4M9	Q99592
Q6ZP82	A6NH13
O43247	Q6P587
Q8NBP0	P60372
Q9UPN7	P13765
Q9UNU6	O95760
Q8IYI6	P35790
Q9Y6P5	Q9BZM5
Q8NGD2	Q08623
Q8N612	O43280
Q9Y2G5	Q8N5H3
Q5T011	Q8WU76
Q86SG6	Q96PG8
P35916	O75610
Q9Y6X8	Q9NVA1
A8K0R7	P10809
Q8N0S6	P59051
Q8TDZ2	P25116
P18669	Q8TAG5
Q9NUL7	Q8TBG4
Q496J9	P56385
Q92797	P14406
Q9UHM6	O00422
Q07001	Q53S58
Q5BKZ1	Q96MU8
Q5XLA6	M0QZC1
Q7Z5U6	Q8IWP9
Q8WWB7	O75832
Q9NPB8	O95057
Q9NST1	Q9NR00
Q92750	P13797
Q5JTD0	P08172
O60711	Q8TCC7
Q9UPZ6	Q9UJT1
Q9NS15	O75937
Q9NQC7	Q13241
Q9Y4B6	Q8TB33
Q14533	Q5T4W7
Q13433	Q7L5A8
Q96QE2	P35249
Q56P03	Q13588
P58004	P51648
Q93073	Q0IIN9
O15164	Q569H4
Q16515	Q496H8
Q6ZSY5	Q9BQ61
Q6NVH7	Q8WXB1
Q9H1D0	Q96BT7
P04746	P31269
Q96AY2	Q8NH48
Q12965	Q13562
Q8N9Z0	O95568
P48066	Q9H173
Q8WYR1	O43889
Q04760	Q8N910
O00238	P10768
Q8N122	Q6NUM9
Q6NSI4	Q86YT9
P78316	Q9NPI9
Q8TEQ6	Q5H9R7
Q96JB8	Q7Z4G4
Q709F0	Q92786
Q9NZB2	Q99062
Q14CX7	Q07817
Q9Y6D6	Q9Y613
Q6AZW8	Q96Q91
Q9C000	Q9C0K1
O95758	Q5SRI9
P56645	O15519
Q96CP2	Q8IV20
Q8WZ74	P0DJH9
Q6NUS6	Q96PS1
Q96RY5	P23378
Q9BV97	Q9BYU5
Q9NVP1	Q96FM1
Q5TA31	Q8TAI7
Q15935	Q7Z3B1
Q6GMV3	Q96I45
P51911	Q86UD3
Q8IWV1	Q8WZ94
Q13428	A6NJ78
Q9NVW2	Q9BYC2
Q9H208	Q6DCA0
Q9NQS3	O60609
P25106	Q96I36
Q14999	Q92844
P56199	Q8IWE2
Q5VU97	Q5BKT4
P57740	Q9BUM1
Q86W26	Q16740
O43313	Q8NGR4
Q14181	Q8WY91
P78357	O14543
Q96PN8	P25398
Q96G91	Q7Z5W3
Q12800	Q6UX53
Q14146	P41002
Q12860	P63272
Q9UJP4	Q96DX4
Q96LB8	Q8NH87
Q75QN2	Q9HDC9
P62945	P05455
Q8TAQ2	A0FGR9
A4D0V7	Q9BY15
Q96NU7	Q9P2E8
P47928	Q9P1Z2
Q9Y5M8	Q8N907
Q9H7M6	P61278
Q2MV58	Q9UBW8
Q5T1H1	Q68DV7
O43868	Q8NGJ4
Q7Z408	A6NGU7
Q9HCE9	O95402
Q76MJ5	Q9Y2C2
P14317	P59551
Q9UPA5	Q9H116
Q9ULI1	Q9Y371
Q9BPX3	P14618
Q9NX62	A6NKQ9
Q5HYA8	Q8NGB4
Q9NS73	Q14694
Q6PII5	Q9NXJ5
Q9NRC1	Q96JY0
Q7Z5M5	O96002
O43897	Q5JUQ0
O60312	P02743
Q8IWB4	Q9BUE6
P10155	Q86TZ1
Q8TDN4	P59551
Q96RL7	A6NGG3
Q7Z2W7	Q8IW52
P49286	Q8NGC7
P11047	Q8N539
Q32P28	E9PQ53
Q5SWH9	Q96HG1
Q96A11	O60218
P82675	O60239
Q12901	Q5T9L3
Q7Z6L1	Q9Y6S9
Q9H1A4	Q8WXX5
Q9NYW7	Q9Y5K8
Q92953	Q5JU67
F8W1W9	Q9BXJ3
Q9UG63	Q9Y5U5
Q9NVE4	P48506
E5RJM6	Q9ULW3
O75146	Q96K49
Q9BXC1	Q9H477
Q9NR16	Q92764
P56749	Q9HB31
Q13315	Q92620
Q93100	Q9P0W8
Q8NEV9	P09564
Q7RTX0	Q9UMR2
Q86Z02	Q8WUJ0
Q8N6L7	Q8NFU3
P22033	P29083
A6NHN6	P06400
Q8WWQ0	Q99707
O14639	Q16663
P0CJ72	Q6DKJ4
Q9NQC8	Q9HAI6
P00488	Q9P1W9
P45954	Q8NEW0
Q8IYX8	Q8WXG1
Q96J84	Q02221
Q8NFZ6	Q9HBH1
Q96CX2	Q9BU68
M0R129	Q9NUK0
Q6NUI6	Q8N158
Q15034	Q9HAF1
P05120	Q15906
A8MQB3	Q9HCU8
Q9ULV4	Q5T2R2
Q5XUX1	B1AMM8
Q71U36	Q969X0
